epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6289,1.30625,1.44332,1.07741,0.52862,0.48506,0.50454,0.32884,1.16213,0.99145,1.0267,0.000475202,0.000475202,0.000475202
2,70.8506,1.20348,1.00552,1.05276,0.68875,0.57816,0.61229,0.41761,1.09718,0.85633,1.01905,0.000932695,0.000932695,0.000932695
3,102.855,1.17508,0.91332,1.04778,0.69306,0.57306,0.6535,0.44517,1.06831,0.83942,1.01781,0.00137132,0.00137132,0.00137132
4,134.847,1.13843,0.85724,1.03306,0.82,0.60168,0.72119,0.49685,1.03081,0.74614,1.00523,0.00134412,0.00134412,0.00134412
5,166.264,1.1116,0.81884,1.02199,0.72472,0.63548,0.69498,0.49694,0.97757,0.71682,0.97275,0.00131582,0.00131582,0.00131582
6,197.658,1.07906,0.7794,1.01332,0.78253,0.68819,0.77236,0.53929,0.97881,0.68775,0.98616,0.00128753,0.00128753,0.00128753
7,229.228,1.0584,0.74946,1.00587,0.83152,0.69642,0.77969,0.55172,0.94106,0.68699,0.97338,0.00125923,0.00125923,0.00125923
8,260.649,1.03126,0.71898,0.9928,0.86045,0.69679,0.80376,0.57602,0.94201,0.64869,0.97186,0.00123094,0.00123094,0.00123094
9,292.026,1.02491,0.71139,0.99017,0.84034,0.715,0.81316,0.57803,0.90195,0.6269,0.95795,0.00120265,0.00120265,0.00120265
10,323.42,1.00684,0.69424,0.98771,0.83913,0.73097,0.80984,0.59115,0.89844,0.61574,0.95907,0.00117435,0.00117435,0.00117435
11,355.097,0.98543,0.68094,0.97916,0.83301,0.72503,0.81982,0.59434,0.89384,0.6174,0.95865,0.00114606,0.00114606,0.00114606
12,386.727,0.98579,0.67285,0.97922,0.8452,0.76946,0.8594,0.61704,0.88446,0.5814,0.95952,0.00111776,0.00111776,0.00111776
13,418.214,0.97647,0.66475,0.97839,0.8493,0.76546,0.84225,0.61423,0.86612,0.5826,0.9497,0.00108947,0.00108947,0.00108947
14,449.848,0.95979,0.64813,0.96793,0.89382,0.73868,0.85694,0.63055,0.85422,0.56892,0.94412,0.00106118,0.00106118,0.00106118
15,481.396,0.95161,0.64208,0.96593,0.9167,0.75474,0.87344,0.64648,0.85136,0.56195,0.94303,0.00103288,0.00103288,0.00103288
16,512.853,0.94209,0.63017,0.96182,0.91114,0.75555,0.87125,0.64424,0.835,0.55492,0.9387,0.00100459,0.00100459,0.00100459
17,544.219,0.93166,0.62298,0.95836,0.87733,0.79794,0.88394,0.65453,0.84344,0.54719,0.94248,0.000976293,0.000976293,0.000976293
18,575.543,0.92228,0.61124,0.9573,0.89273,0.79828,0.89185,0.68038,0.81577,0.52568,0.93282,0.000947999,0.000947999,0.000947999
19,606.964,0.91172,0.60503,0.95349,0.89613,0.81644,0.89279,0.67273,0.81708,0.53539,0.93299,0.000919704,0.000919704,0.000919704
20,639.065,0.90609,0.59906,0.95032,0.91318,0.79768,0.90294,0.68681,0.81413,0.51921,0.93089,0.00089141,0.00089141,0.00089141
21,670.521,0.90134,0.59193,0.94763,0.8923,0.82845,0.91206,0.6844,0.80066,0.51715,0.92832,0.000863116,0.000863116,0.000863116
22,702.035,0.8893,0.58668,0.94318,0.91642,0.81976,0.91221,0.6925,0.79831,0.50517,0.92884,0.000834822,0.000834822,0.000834822
23,733.468,0.87996,0.57698,0.94181,0.89938,0.8533,0.91638,0.70137,0.78918,0.50426,0.92577,0.000806528,0.000806528,0.000806528
24,764.91,0.87603,0.57312,0.9405,0.92589,0.82039,0.91787,0.69978,0.77609,0.49297,0.92125,0.000778233,0.000778233,0.000778233
25,796.379,0.86919,0.56772,0.93789,0.90525,0.83966,0.91889,0.70029,0.78275,0.49173,0.92281,0.000749939,0.000749939,0.000749939
26,827.929,0.86377,0.55902,0.93592,0.91773,0.84332,0.92174,0.70414,0.76924,0.48353,0.91462,0.000721645,0.000721645,0.000721645
27,859.273,0.85586,0.55538,0.93437,0.91171,0.85283,0.92769,0.71452,0.75996,0.47656,0.91582,0.000693351,0.000693351,0.000693351
28,890.711,0.84922,0.54905,0.93151,0.93403,0.85196,0.93411,0.72672,0.75328,0.46839,0.90899,0.000665057,0.000665057,0.000665057
29,922.18,0.84899,0.5454,0.93186,0.92113,0.86381,0.93378,0.72288,0.75356,0.46227,0.91263,0.000636762,0.000636762,0.000636762
30,953.665,0.83634,0.54118,0.92801,0.9248,0.86147,0.9363,0.72479,0.74851,0.46208,0.9084,0.000608468,0.000608468,0.000608468
31,985.085,0.83771,0.5347,0.92429,0.93035,0.85235,0.93461,0.73552,0.73862,0.45583,0.90936,0.000580174,0.000580174,0.000580174
32,1016.58,0.82447,0.52877,0.92086,0.90722,0.86582,0.93605,0.7344,0.74108,0.45937,0.90658,0.00055188,0.00055188,0.00055188
33,1047.86,0.8228,0.52777,0.92388,0.93227,0.86792,0.94824,0.73978,0.74515,0.45847,0.90767,0.000523586,0.000523586,0.000523586
34,1079.11,0.81111,0.51507,0.91772,0.91867,0.87961,0.94499,0.73744,0.72869,0.45498,0.90575,0.000495291,0.000495291,0.000495291
35,1110.36,0.81281,0.51758,0.91779,0.9381,0.86414,0.9493,0.74383,0.72685,0.44509,0.90273,0.000466997,0.000466997,0.000466997
36,1141.72,0.8047,0.51444,0.9138,0.95097,0.86888,0.95094,0.75181,0.72438,0.44107,0.89941,0.000438703,0.000438703,0.000438703
37,1172.94,0.801,0.51253,0.91427,0.93548,0.8759,0.94852,0.74778,0.72142,0.44018,0.8999,0.000410409,0.000410409,0.000410409
38,1204.25,0.7924,0.50498,0.9131,0.95,0.87148,0.95633,0.75253,0.71505,0.43369,0.90018,0.000382115,0.000382115,0.000382115
39,1235.49,0.7893,0.50339,0.91124,0.92504,0.89183,0.95251,0.75107,0.71383,0.43063,0.89743,0.00035382,0.00035382,0.00035382
40,1266.76,0.78803,0.4998,0.91069,0.94002,0.8872,0.95252,0.76168,0.71298,0.43348,0.89742,0.000325526,0.000325526,0.000325526
41,1317.24,0.72774,0.43869,0.88472,0.951,0.8621,0.9546,0.75398,0.71589,0.43765,0.90014,0.000297232,0.000297232,0.000297232
42,1349.2,0.71059,0.42888,0.88016,0.94378,0.89763,0.95611,0.75907,0.7059,0.429,0.89584,0.000268938,0.000268938,0.000268938
43,1380.92,0.70142,0.42462,0.8752,0.92938,0.90994,0.95514,0.76248,0.70299,0.42724,0.89544,0.000240644,0.000240644,0.000240644
44,1411.79,0.6936,0.41665,0.87508,0.95352,0.89367,0.95518,0.7664,0.69061,0.42352,0.89326,0.000212349,0.000212349,0.000212349
45,1442.72,0.68556,0.41153,0.86954,0.95178,0.89942,0.95839,0.76519,0.6891,0.42113,0.89235,0.000184055,0.000184055,0.000184055
46,1473.68,0.67871,0.40866,0.87216,0.9516,0.90025,0.95943,0.76831,0.68275,0.41515,0.88886,0.000155761,0.000155761,0.000155761
47,1504.57,0.67084,0.40328,0.86695,0.95134,0.90647,0.96079,0.76799,0.6812,0.41475,0.8892,0.000127467,0.000127467,0.000127467
48,1535.42,0.66498,0.39957,0.86581,0.94681,0.90674,0.95772,0.76948,0.68128,0.41387,0.88863,9.91726e-05,9.91726e-05,9.91726e-05
49,1566.37,0.66057,0.39698,0.86347,0.95162,0.9099,0.96007,0.77172,0.67896,0.41211,0.88802,7.08784e-05,7.08784e-05,7.08784e-05
