epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1807.26,1.25625,1.13645,1.16811,0.44861,0.46504,0.46042,0.30563,1.23917,1.11848,1.20974,0.000475202,0.000475202,0.000475202
2,3702.59,1.32315,1.07049,1.21794,0.65258,0.41418,0.47949,0.31515,1.19567,1.63519,1.20165,0.000932695,0.000932695,0.000932695
3,5132.56,1.25987,0.99398,1.18423,0.713,0.55901,0.60931,0.39841,1.1052,0.86729,1.1368,0.00137132,0.00137132,0.00137132
4,6483.81,1.20824,0.92101,1.1572,0.72389,0.57042,0.66635,0.44855,1.0647,0.87686,1.11299,0.00134412,0.00134412,0.00134412
5,7975.5,1.1392,0.8605,1.11726,0.76439,0.59797,0.69806,0.47966,1.02073,0.73594,1.07842,0.00131582,0.00131582,0.00131582
6,9925.39,1.10205,0.80192,1.09831,0.76617,0.65092,0.75016,0.51899,0.99814,0.68499,1.07709,0.00128753,0.00128753,0.00128753
7,11791.4,1.07067,0.77372,1.08279,0.76284,0.64193,0.72928,0.51978,0.95069,0.718,1.0508,0.00125923,0.00125923,0.00125923
8,13573.6,1.04826,0.74609,1.07139,0.83759,0.67749,0.77961,0.56808,0.93784,0.62978,1.04367,0.00123094,0.00123094,0.00123094
9,14792.5,1.02541,0.72318,1.06165,0.78251,0.69301,0.77886,0.56526,0.92039,0.63729,1.02575,0.00120265,0.00120265,0.00120265
10,16340.5,0.99448,0.69524,1.04614,0.81493,0.72833,0.82019,0.59733,0.87402,0.59883,1.00966,0.00117435,0.00117435,0.00117435
11,18212.8,0.97713,0.67724,1.0395,0.83994,0.764,0.84357,0.61851,0.87237,0.57241,1.00759,0.00114606,0.00114606,0.00114606
12,19877,0.97068,0.66464,1.03112,0.86313,0.75014,0.85404,0.63189,0.84653,0.56864,0.99653,0.00111776,0.00111776,0.00111776
13,21343.5,0.94607,0.64183,1.02307,0.87494,0.73793,0.85638,0.64086,0.83712,0.55337,0.99493,0.00108947,0.00108947,0.00108947
14,23139.8,0.93883,0.63649,1.02183,0.8367,0.75974,0.84473,0.63542,0.82167,0.54446,0.99196,0.00106118,0.00106118,0.00106118
15,24707.3,0.92238,0.61509,1.01147,0.86154,0.77244,0.85511,0.64434,0.81945,0.54112,0.99026,0.00103288,0.00103288,0.00103288
16,26485.2,0.9089,0.60051,1.00386,0.85181,0.79695,0.87427,0.6602,0.7983,0.51866,0.98482,0.00100459,0.00100459,0.00100459
17,28077,0.89782,0.59207,1.00049,0.89026,0.77419,0.88134,0.66745,0.79817,0.53456,0.98041,0.000976293,0.000976293,0.000976293
18,30022.2,0.89208,0.59,1.00051,0.84872,0.81243,0.88147,0.68317,0.78374,0.50073,0.96949,0.000947999,0.000947999,0.000947999
19,32016.3,0.88373,0.58238,0.9946,0.84051,0.83176,0.88463,0.68131,0.77261,0.49769,0.9664,0.000919704,0.000919704,0.000919704
20,33708.2,0.87465,0.56975,0.99095,0.86827,0.8118,0.8999,0.69121,0.7669,0.48597,0.96589,0.00089141,0.00089141,0.00089141
21,35188.3,0.85717,0.55569,0.98535,0.90155,0.80618,0.90773,0.7031,0.75853,0.47439,0.96602,0.000863116,0.000863116,0.000863116
22,36971.7,0.85186,0.54518,0.98382,0.87062,0.85427,0.91333,0.71035,0.75105,0.47098,0.95844,0.000834822,0.000834822,0.000834822
23,38642.9,0.84146,0.53974,0.97571,0.88988,0.83175,0.90931,0.70622,0.74074,0.46739,0.95923,0.000806528,0.000806528,0.000806528
24,40506.4,0.83172,0.53015,0.9722,0.9077,0.82628,0.92489,0.72486,0.73142,0.44652,0.94995,0.000778233,0.000778233,0.000778233
25,42073.1,0.83032,0.52662,0.97306,0.90828,0.8454,0.92432,0.72257,0.72596,0.44949,0.94559,0.000749939,0.000749939,0.000749939
26,43635.8,0.82472,0.52378,0.9676,0.89787,0.85121,0.92591,0.73482,0.72477,0.4488,0.94583,0.000721645,0.000721645,0.000721645
27,45394.1,0.80557,0.50591,0.96036,0.89067,0.87353,0.92847,0.7409,0.70943,0.44037,0.94375,0.000693351,0.000693351,0.000693351
28,47146.1,0.80792,0.5057,0.96139,0.90516,0.86622,0.92507,0.74184,0.70582,0.44342,0.93944,0.000665057,0.000665057,0.000665057
29,48856.9,0.79668,0.49938,0.95404,0.92305,0.85956,0.94199,0.74892,0.70021,0.42412,0.93917,0.000636762,0.000636762,0.000636762
30,50674.2,0.79215,0.49347,0.9566,0.90513,0.87927,0.93571,0.75445,0.69373,0.41387,0.93498,0.000608468,0.000608468,0.000608468
31,52457.8,0.77905,0.48273,0.9499,0.89611,0.88225,0.94086,0.75169,0.69332,0.41661,0.93511,0.000580174,0.000580174,0.000580174
32,54122.1,0.77483,0.47966,0.94899,0.93502,0.87666,0.94626,0.76678,0.68608,0.41645,0.93282,0.00055188,0.00055188,0.00055188
33,55827,0.76563,0.47157,0.94224,0.89718,0.88452,0.94182,0.75931,0.67573,0.41354,0.9257,0.000523586,0.000523586,0.000523586
34,57801.2,0.7596,0.47277,0.94193,0.93204,0.88464,0.95065,0.76849,0.67019,0.40102,0.92424,0.000495291,0.000495291,0.000495291
35,59816.8,0.74941,0.46053,0.9346,0.92551,0.89349,0.95206,0.77332,0.66355,0.39754,0.92222,0.000466997,0.000466997,0.000466997
36,61409.4,0.74398,0.45212,0.93446,0.92473,0.8994,0.95038,0.77369,0.65814,0.39422,0.92508,0.000438703,0.000438703,0.000438703
37,62701.6,0.74078,0.45249,0.93465,0.91944,0.91503,0.95673,0.78542,0.65228,0.39124,0.92105,0.000410409,0.000410409,0.000410409
38,64445.5,0.72747,0.44056,0.92701,0.93076,0.90411,0.95231,0.78243,0.65158,0.38569,0.91709,0.000382115,0.000382115,0.000382115
39,66642.9,0.72354,0.43886,0.92765,0.92305,0.90654,0.95554,0.78489,0.64654,0.38801,0.91504,0.00035382,0.00035382,0.00035382
40,68433.2,0.71535,0.43016,0.92403,0.93901,0.91031,0.95809,0.78971,0.64026,0.37479,0.91626,0.000325526,0.000325526,0.000325526
41,70087.2,0.64101,0.36981,0.88874,0.94064,0.90788,0.95886,0.79236,0.63048,0.37141,0.91197,0.000297232,0.000297232,0.000297232
42,71898.5,0.62936,0.36319,0.88564,0.94591,0.90092,0.96119,0.80112,0.62398,0.36548,0.91147,0.000268938,0.000268938,0.000268938
43,73692.1,0.62252,0.35646,0.88054,0.94857,0.90698,0.96197,0.80583,0.61757,0.36456,0.90824,0.000240644,0.000240644,0.000240644
44,75546.6,0.61478,0.35247,0.87856,0.94661,0.91119,0.96447,0.80435,0.60981,0.35773,0.90394,0.000212349,0.000212349,0.000212349
45,77248.6,0.60439,0.34561,0.87232,0.94655,0.91192,0.96412,0.80688,0.60968,0.3568,0.90358,0.000184055,0.000184055,0.000184055
46,78943.9,0.59726,0.34106,0.87497,0.93876,0.92177,0.96384,0.81282,0.60361,0.35138,0.90204,0.000155761,0.000155761,0.000155761
47,80863.3,0.58647,0.3369,0.86906,0.94317,0.92469,0.96618,0.81476,0.59792,0.34906,0.90041,0.000127467,0.000127467,0.000127467
48,82636.8,0.58276,0.33141,0.86665,0.9449,0.9334,0.96621,0.81625,0.59658,0.34659,0.90034,9.91726e-05,9.91726e-05,9.91726e-05
49,84214.4,0.57425,0.32606,0.86446,0.95038,0.91691,0.96612,0.81457,0.5902,0.34373,0.89819,7.08784e-05,7.08784e-05,7.08784e-05
50,86016.3,0.56532,0.32279,0.86119,0.95099,0.92024,0.9657,0.81623,0.58876,0.34258,0.89739,4.25842e-05,4.25842e-05,4.25842e-05
